Player,Season,Season Type,Team,Games,Min,Pts,OReb,Dreb,Reb,Ast,Stl,Blk,TO,PF,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%
David Nwaba,2016-2017,REG,Lakers,18,19.1,5.61,0.83,2.33,3.17,0.61,0.61,0.39,0.44,1.72,2.17,3.83,0.565,0.06,0.28,0.2,1.22,1.94,0.629
Mike Tobey,2016-2017,REG,Hornets,2,12.59,1,1,0.5,1.5,0.5,0,0,0.5,1,0.5,2,0.25,0,0,0,0,0,0
Danuel House,2016-2017,REG,Wizards,1,0.83,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patricio Garino,2016-2017,REG,Magic,1,4.28,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Marcus Georges-Hunt,2016-2017,REG,"Heat, Magic",1,4.28,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Nicolas Laprovittola,2016-2017,REG,Spurs,18,9.67,3.28,0.06,0.5,0.56,1.56,0.22,0.06,1.06,1.06,1.11,2.61,0.426,0.56,1.5,0.37,0.5,0.5,1
"Derrick Jones, Jr.",2016-2017,REG,Suns,29,15.97,4.55,1.03,1.28,2.31,0.31,0.31,0.45,0.34,1.86,1.93,3.31,0.583,0.03,0.24,0.143,0.66,0.97,0.679
Okaro White,2016-2017,REG,Heat,31,13.55,3.03,0.84,1.77,2.61,0.61,0.26,0.29,0.55,1.55,1,2.45,0.408,0.39,0.94,0.414,0.65,0.71,0.909
Georgios Papagiannis,2016-2017,REG,Kings,18,14.57,4.94,1,2.67,3.67,0.56,0.11,0.89,0.78,1.83,2.22,4.22,0.526,0,0.06,0,0.5,0.56,0.9
Paul Zipser,2016-2017,REG,Bulls,40,18.81,5.13,0.35,2.33,2.68,0.78,0.33,0.43,0.98,1.7,1.85,4.78,0.387,0.65,2.13,0.306,0.78,1,0.775
Shawn Long,2016-2017,REG,76ers,14,14.17,9.57,2,2.5,4.5,0.86,0.57,0.64,0.86,3,3.86,5.93,0.651,0.5,0.93,0.538,1.36,2.5,0.543
Daniel Ochefu,2016-2017,REG,Wizards,18,3.24,0.89,0.17,0.89,1.06,0.11,0.06,0,0.17,0.89,0.44,1.17,0.381,0,0,0,0,0.11,0
Marshall Plumlee,2016-2017,REG,Knicks,17,6.76,1.18,0.76,1.06,1.82,0.53,0.18,0.18,0.53,0.76,0.35,0.76,0.461,0,0,0,0.47,0.88,0.533
Mindaugas Kuzminskas,2016-2017,REG,Knicks,64,14.65,6,0.67,1.17,1.84,1.05,0.47,0.17,0.72,1.2,2.19,5.16,0.424,0.8,2.41,0.331,0.83,1.03,0.803
Nicolas Brussino,2016-2017,REG,Mavericks,50,8.02,2.24,0.48,1.1,1.58,0.72,0.28,0.16,0.38,0.7,0.78,2.16,0.361,0.42,1.42,0.296,0.26,0.34,0.765
Bryn Forbes,2016-2017,REG,Spurs,33,7.26,1.94,0.06,0.48,0.55,0.48,0.03,0,0.24,0.42,0.76,2.27,0.333,0.36,1.21,0.3,0.06,0.09,0.667
Johnny O'Bryant III,2016-2017,REG,"Nuggets, Hornets",11,7.33,3.45,0.82,0.91,1.73,0.55,0,0.09,0.55,0.91,1.36,2.73,0.5,0.27,0.55,0.5,0.45,0.55,0.833
James Michael McAdoo,2016-2017,REG,Warriors,49,8.54,2.71,0.67,1.08,1.76,0.37,0.29,0.55,0.37,0.92,1.16,2.18,0.533,0,0.08,0,0.39,0.82,0.475
Jarnell Stokes,2016-2017,REG,Nuggets,2,3.28,1.5,0.5,0.5,1,1,0.5,0,0,1.5,0.5,0.5,1,0,0,0,0.5,1,0.5
Andrew Wiggins,2016-2017,REG,Timberwolves,77,37.22,23.27,1.25,2.77,4.01,2.32,0.99,0.35,2.29,2.23,8.57,18.88,0.454,1.26,3.45,0.365,4.87,6.45,0.755
Jabari Parker,2016-2017,REG,Bucks,51,33.88,20.1,1.55,4.61,6.16,2.78,0.96,0.43,1.82,2.18,7.82,15.96,0.49,1.27,3.49,0.365,3.18,4.27,0.743
Joel Embiid,2016-2017,REG,76ers,31,25.36,20.23,1.97,5.84,7.81,2.13,0.87,2.42,3.77,3.61,6.45,13.84,0.466,1.16,3.16,0.367,6.16,7.87,0.783
Dante Exum,2016-2017,REG,Jazz,62,18.35,6.34,0.45,1.53,1.98,1.6,0.31,0.18,1.16,2.24,2.39,5.47,0.437,0.65,2.18,0.296,0.92,1.15,0.803
Josh Huestis,2016-2017,REG,Thunder,1,6.88,7,2,2,4,1,0,1,0,0,3,4,0.75,1,2,0.5,0,0,0
Dario Saric,2016-2017,REG,76ers,78,26.39,12.86,1.37,4.91,6.28,2.23,0.69,0.35,2.24,2,4.73,11.5,0.411,1.32,4.21,0.314,2.08,2.65,0.783
Clint Capela,2016-2017,REG,Rockets,63,23.77,12.35,2.75,5.37,8.11,0.98,0.52,1.19,1.35,2.79,5.44,8.6,0.633,0,0,0,1.46,2.73,0.535
Jusuf Nurkic,2016-2017,REG,"Nuggets, Trail Blazers",65,21.4,10.18,2.42,4.75,7.17,1.83,0.75,1.15,2.2,2.48,4.17,8.2,0.508,0,0.02,0,1.85,3.23,0.571
Bruno Caboclo,2016-2017,REG,Raptors,8,2.87,0.38,0.38,0.38,0.75,0.38,0.25,0,0.25,0.38,0.13,0.63,0.2,0.13,0.38,0.333,0,0,0
Nikola Jokic,2016-2017,REG,Nuggets,69,27.79,16.51,2.99,6.81,9.8,4.91,0.8,0.68,2.26,2.93,6.74,11.71,0.575,0.59,1.87,0.318,2.43,2.96,0.824
Kristaps Porzingis,2016-2017,REG,Knicks,66,32.79,18.12,1.7,5.45,7.15,1.47,0.71,1.95,1.79,3.7,6.71,14.91,0.45,1.7,4.74,0.358,3,3.82,0.786
Edy Tavares,2016-2017,REG,Hawks,1,3.6,2,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,2,0
Damjan Rudez,2016-2017,REG,Magic,43,7.13,1.86,0.14,0.47,0.6,0.44,0.26,0.02,0.21,0.72,0.7,1.98,0.353,0.47,1.49,0.312,0,0,0
Tyler Johnson,2016-2017,REG,Heat,69,29.89,13.71,0.72,3.26,3.99,3.23,1.19,0.62,1.2,2.39,4.93,11.38,0.433,1.25,3.41,0.366,2.61,3.41,0.766
Tim Frazier,2016-2017,REG,Pelicans,62,23.47,7.16,0.5,2.16,2.66,5.13,0.85,0.1,1.6,2.02,2.56,6.23,0.412,0.6,1.94,0.308,1.44,1.85,0.774
Tarik Black,2016-2017,REG,Lakers,63,16.18,5.68,2.21,2.95,5.16,0.6,0.37,0.57,0.92,2.6,2.22,4.33,0.513,0.02,0.03,0.502,1.22,1.65,0.74
Langston Galloway,2016-2017,REG,"Pelicans, Kings",70,19.71,7.89,0.37,1.7,2.07,1.1,0.66,0.09,0.6,1.26,2.79,7.34,0.379,1.64,4.23,0.389,0.67,0.86,0.783
Joe Ingles,2016-2017,REG,Jazz,78,23.7,7.01,0.27,2.87,3.14,2.65,1.15,0.1,1.23,1.97,2.45,5.4,0.454,1.49,3.35,0.444,0.63,0.85,0.742
Jarell Eddie,2016-2017,REG,Suns,5,12.47,4.8,0.2,1.2,1.4,0,0.2,0,0.2,0.2,1.2,3.8,0.316,0.8,3.2,0.25,1.6,1.8,0.889
TJ McConnell,2016-2017,REG,76ers,77,26.11,6.77,0.45,2.57,3.03,6.51,1.64,0.13,1.87,1.73,2.88,6.22,0.463,0.14,0.66,0.216,0.86,1.05,0.815
Jahlil Okafor,2016-2017,REG,76ers,50,22.68,11.8,1.64,3.18,4.82,1.16,0.38,1,1.8,2.44,4.84,9.42,0.514,0,0,0,2.12,3.16,0.671
Emmanuel Mudiay,2016-2017,REG,Nuggets,53,25.72,10.94,0.53,2.74,3.26,3.98,0.75,0.25,2.23,1.74,3.74,10.11,0.369,1.02,3.26,0.312,2.45,3.11,0.788
Tyus Jones,2016-2017,REG,Timberwolves,55,12.73,3.38,0.16,0.91,1.07,2.53,0.76,0.07,0.64,0.84,1.2,2.98,0.402,0.42,1.24,0.338,0.56,0.73,0.775
Justin Anderson,2016-2017,REG,"Mavericks, 76ers",71,15.62,6.69,0.93,2.38,3.31,0.86,0.52,0.31,0.85,1.42,2.37,5.62,0.421,0.75,2.48,0.301,1.21,1.52,0.796
Anthony Brown,2016-2017,REG,"Pelicans, Magic",11,14.46,3.91,0.73,2.27,3,0.73,0.45,0.18,0.55,1.36,1.64,4.55,0.36,0.64,2.45,0.259,0,0,0
Montrezl Harrell,2016-2017,REG,Rockets,55,18.01,9.04,1.4,2.24,3.64,1.13,0.36,0.71,0.75,2.09,3.85,5.93,0.65,0.02,0.11,0.167,1.31,2.09,0.626
Andrew Harrison,2016-2017,REG,Grizzlies,69,20.5,5.99,0.33,1.54,1.87,2.72,0.71,0.28,1.2,2.7,1.64,5.03,0.326,0.62,2.16,0.289,2.09,2.72,0.766
Aaron Harrison,2016-2017,REG,Hornets,5,3.31,0.2,0,0.6,0.6,0.6,0,0,0,0.4,0,0.8,0,0,0.4,0,0.2,0.4,0.5
Delon Wright,2016-2017,REG,Raptors,24,17.08,5.79,0.58,1.33,1.92,2.33,1.04,0.46,0.96,1.25,1.92,4.33,0.442,0.38,1.08,0.346,1.58,2.04,0.775
RJ Hunter,2016-2017,REG,Bulls,3,3.05,0,0,0.33,0.33,0,0,0,0,0,0,0.33,0,0,0.33,0,0,0,0
Sam Dekker,2016-2017,REG,Rockets,77,18.43,6.55,1.25,2.44,3.69,0.97,0.49,0.27,0.53,1.08,2.64,5.58,0.472,0.78,2.43,0.321,0.49,0.88,0.559
D'Angelo Russell,2016-2017,REG,Lakers,61,28.57,15.66,0.51,3,3.51,4.8,1.36,0.28,2.72,2.08,5.59,13.74,0.407,2.15,6.1,0.352,2.33,3,0.776
Karl-Anthony Towns,2016-2017,REG,Timberwolves,77,36.91,24.82,3.64,8.32,11.96,2.68,0.7,1.31,2.62,2.94,9.65,17.97,0.537,1.18,3.32,0.355,4.34,5.23,0.829
Richaun Holmes,2016-2017,REG,76ers,53,19.97,9.43,1.57,3.62,5.19,1,0.72,0.98,0.89,2.38,3.91,6.89,0.567,0.43,1.21,0.359,1.19,1.75,0.677
Justise Winslow,2016-2017,REG,Heat,18,34.74,10.89,1.28,3.94,5.22,3.61,1.5,0.33,1.83,2.89,4.44,12.72,0.349,0.39,2.06,0.189,1.61,2.61,0.617
Willie Cauley-Stein,2016-2017,REG,Kings,71,18.55,7.73,1.07,3.17,4.24,1.01,0.7,0.58,0.92,1.96,3.21,6.03,0.533,0,0.03,0,1.31,1.97,0.664
Kelly Oubre,2016-2017,REG,Wizards,75,19.72,6.11,0.75,2.48,3.23,0.57,0.69,0.2,0.6,2.51,2.27,5.39,0.421,0.69,2.39,0.29,0.88,1.16,0.759
Frank Kaminsky,2016-2017,REG,Hornets,72,26.13,11.9,0.79,3.81,4.6,2.04,0.68,0.49,1.04,1.89,4.33,10.68,0.406,1.61,4.76,0.338,1.63,2.14,0.76
Devin Booker,2016-2017,REG,Suns,76,35.13,21.95,0.62,2.58,3.2,3.43,0.93,0.26,3.14,3.13,7.7,18.24,0.422,1.86,5.16,0.36,4.7,5.63,0.834
Cameron Payne,2016-2017,REG,"Thunder, Bulls",30,15.34,5.33,0.1,1.47,1.57,1.83,0.47,0.17,1,1.7,2.13,6.43,0.332,0.9,2.87,0.314,0.17,0.27,0.625
Myles Turner,2016-2017,REG,Pacers,77,31.48,14.34,1.68,5.44,7.12,1.34,0.91,2.09,1.27,3.25,5.43,10.74,0.505,0.51,1.49,0.339,2.97,3.7,0.804
Trey Lyles,2016-2017,REG,Jazz,69,16.57,6.29,0.68,2.64,3.32,1.01,0.38,0.29,0.9,1.39,2.29,6.29,0.364,0.93,2.94,0.315,0.78,1.09,0.72
Stanley Johnson,2016-2017,REG,Pistons,73,17.38,4.29,0.48,1.99,2.47,1.3,0.74,0.33,0.93,1.56,1.64,4.58,0.359,0.53,1.93,0.277,0.47,0.7,0.667
Jerian Grant,2016-2017,REG,Bulls,59,15.56,5.39,0.29,1.29,1.58,1.64,0.69,0.12,0.68,1.46,1.83,4.47,0.409,0.71,1.98,0.359,1.02,1.15,0.882
Bobby Portis,2016-2017,REG,Bulls,60,15.32,6.57,1.13,3.18,4.32,0.48,0.22,0.18,0.58,1.52,2.75,5.73,0.48,0.45,1.45,0.31,0.62,0.92,0.673
Kevon Looney,2016-2017,REG,Warriors,53,8.43,2.55,0.83,1.51,2.34,0.55,0.26,0.32,0.32,1.21,1.06,2.02,0.523,0.04,0.17,0.222,0.4,0.64,0.618
Rashad Vaughn,2016-2017,REG,Bucks,38,10.65,3.26,0.05,1.13,1.18,0.47,0.5,0.24,0.24,0.74,1.29,3.61,0.358,0.63,1.97,0.32,0.05,0.11,0.5
